JobID|TotalCPU|AllocCPUS|ReqCPUS|ConsumedEnergy|AveCPUFreq|JobName|Elapsed|
27987926|3-16:41:24|384|384|2788.06K||sp-mz|00:20:29|
27987926.batch|00:01.652|48|48|423.19K|2100000K|batch|00:20:29|
27987926.extern|00:00.009|384|384|2788.06K|16800000K|extern|00:20:29|
27987926.0|04:46:26|192|192|111.25K|1557K|sp-mz.D.8|00:01:30|
27987926.1|04:13:45|192|192|107.52K|2820K|sp-mz.D.12|00:01:20|
27987926.2|03:33:59|192|192|91.61K|7227K|sp-mz.D.16|00:01:10|
27987926.3|03:02:42|192|192|83.39K|22210K|sp-mz.D.24|00:00:57|
27987926.4|03:04:30|192|192|87.44K|30119K|sp-mz.D.32|00:01:01|
27987926.5|02:52:52|192|192|88.45K|169484K|sp-mz.D.48|00:00:55|
27987926.6|03:06:36|192|192|102.10K|184091K|sp-mz.D.96|00:00:59|
27987926.7|04:02:37|192|192|127.21K|262106K|sp-mz.D.192|00:01:17|
27987926.8|04:51:37|288|288|114.46K|405K|sp-mz.D.12|00:01:02|
27987926.9|04:28:53|288|288|113.22K|10249K|sp-mz.D.18|00:00:57|
27987926.10|03:27:59|288|288|90.44K|15524K|sp-mz.D.24|00:00:44|
27987926.11|03:15:08|288|288|89.04K|25409K|sp-mz.D.36|00:00:41|
27987926.12|03:11:26|288|288|90.59K|67135K|sp-mz.D.48|00:00:41|
27987926.13|03:00:52|288|288|91.67K|242194K|sp-mz.D.72|00:00:38|
27987926.14|03:27:21|288|288|110.63K|322145K|sp-mz.D.144|00:00:44|
27987926.15|04:10:42|288|288|132.83K|2088171K|sp-mz.D.288|00:00:54|
27987926.16|04:55:29|384|384|116.61K|38018K|sp-mz.D.16|00:00:47|
27987926.17|04:27:25|384|384|113.57K|71451K|sp-mz.D.24|00:00:42|
27987926.18|03:37:40|384|384|93.59K|210911K|sp-mz.D.32|00:00:35|
27987926.19|03:18:18|384|384|89.97K|231682K|sp-mz.D.48|00:00:32|
27987926.20|03:07:25|384|384|77.69K|18034360K|sp-mz.D.64|00:00:30|
27987926.21|02:56:01|384|384|90.01K|23629259K|sp-mz.D.96|00:00:30|
27987926.22|03:27:25|384|384|110.29K|8752525K|sp-mz.D.192|00:00:34|
27987926.23|04:14:02|384|384|133.96K|16462752K|sp-mz.D.384|00:00:43|
