JobID|TotalCPU|AllocCPUS|ReqCPUS|ConsumedEnergy|AveCPUFreq|JobName|Elapsed|
27987924|6-00:50:41|384|384|4122.45K||bt-mz|00:33:39|
27987924.batch|00:01.645|48|48|603.43K|2100000K|batch|00:33:39|
27987924.extern|00:00.009|384|384|4122.45K|16800000K|extern|00:33:39|
27987924.0|07:47:03|192|192|180.96K|1451K|bt-mz.D.8|00:02:41|
27987924.1|06:07:33|192|192|148.28K|5374K|bt-mz.D.12|00:01:56|
27987924.2|06:01:19|192|192|144.59K|7691K|bt-mz.D.16|00:01:55|
27987924.3|05:24:52|192|192|132.81K|13970K|bt-mz.D.24|00:01:44|
27987924.4|05:43:38|192|192|141.50K|13568K|bt-mz.D.32|00:01:50|
27987924.5|05:17:16|192|192|136.35K|118739K|bt-mz.D.48|00:01:40|
27987924.6|05:17:21|192|192|141.09K|497212K|bt-mz.D.96|00:01:40|
27987924.7|05:22:47|192|192|147.72K|657622K|bt-mz.D.192|00:01:42|
27987924.8|07:51:29|288|288|176.57K|1395K|bt-mz.D.12|00:01:39|
27987924.9|06:16:04|288|288|152.06K|5942K|bt-mz.D.18|00:01:21|
27987924.10|06:02:56|288|288|146.31K|13145K|bt-mz.D.24|00:01:16|
27987924.11|05:26:54|288|288|137.13K|20881K|bt-mz.D.36|00:01:09|
27987924.12|05:46:06|288|288|144.99K|42871K|bt-mz.D.48|00:01:13|
27987924.13|05:21:57|288|288|140.97K|37179K|bt-mz.D.72|00:01:08|
27987924.14|05:24:47|288|288|146.72K|120881K|bt-mz.D.144|00:01:10|
27987924.15|05:36:57|288|288|153.94K|970303K|bt-mz.D.288|00:01:11|
27987924.16|07:52:41|384|384|176.37K|18866K|bt-mz.D.16|00:01:16|
27987924.17|06:18:38|384|384|151.70K|57135K|bt-mz.D.24|00:01:01|
27987924.18|06:03:00|384|384|145.25K|170009K|bt-mz.D.32|00:00:57|
27987924.19|05:29:38|384|384|137.17K|259312K|bt-mz.D.48|00:00:52|
27987924.20|05:48:41|384|384|144.71K|697062K|bt-mz.D.64|00:00:57|
27987924.21|05:24:40|384|384|140.25K|552765K|bt-mz.D.96|00:00:52|
27987924.22|05:29:18|384|384|146.76K|2774449K|bt-mz.D.192|00:00:53|
27987924.23|07:34:53|384|384|192.04K|17393947K|bt-mz.D.384|00:01:12|
