JobID|TotalCPU|AllocCPUS|ReqCPUS|ConsumedEnergy|AveCPUFreq|JobName|Elapsed|
27987922|6-00:39:42|384|384|4032.91K||bt-mz|00:33:06|
27987922.batch|00:01.660|48|48|623.09K|2100000K|batch|00:33:06|
27987922.extern|00:00.009|384|384|4032.91K|16800000K|extern|00:33:06|
27987922.0|07:47:55|192|192|172.70K|2390K|bt-mz.D.8|00:02:28|
27987922.1|06:08:38|192|192|147.85K|3928K|bt-mz.D.12|00:01:58|
27987922.2|05:57:53|192|192|142.74K|3045K|bt-mz.D.16|00:01:54|
27987922.3|05:22:00|192|192|133.85K|16382K|bt-mz.D.24|00:01:42|
27987922.4|05:42:15|192|192|138.32K|38936K|bt-mz.D.32|00:01:48|
27987922.5|05:20:09|192|192|136.72K|87491K|bt-mz.D.48|00:01:41|
27987922.6|05:17:32|192|192|141.68K|88398K|bt-mz.D.96|00:01:40|
27987922.7|05:23:52|192|192|147.31K|971042K|bt-mz.D.192|00:01:43|
27987922.8|07:51:58|288|288|173.16K|593K|bt-mz.D.12|00:01:40|
27987922.9|06:11:16|288|288|147.38K|5544K|bt-mz.D.18|00:01:20|
27987922.10|06:01:49|288|288|142.47K|6948K|bt-mz.D.24|00:01:16|
27987922.11|05:27:30|288|288|134.26K|40438K|bt-mz.D.36|00:01:10|
27987922.12|05:47:31|288|288|142.25K|31764K|bt-mz.D.48|00:01:13|
27987922.13|05:21:54|288|288|137.66K|45570K|bt-mz.D.72|00:01:09|
27987922.14|05:24:13|288|288|143.20K|64290K|bt-mz.D.144|00:01:09|
27987922.15|05:36:42|288|288|150.86K|916580K|bt-mz.D.288|00:01:11|
27987922.16|07:55:07|384|384|175.51K|19837K|bt-mz.D.16|00:01:15|
27987922.17|06:15:02|384|384|149.06K|91158K|bt-mz.D.24|00:00:59|
27987922.18|06:03:10|384|384|143.97K|194117K|bt-mz.D.32|00:00:58|
27987922.19|05:30:15|384|384|136.28K|391208K|bt-mz.D.48|00:00:52|
27987922.20|05:49:09|384|384|143.90K|180199K|bt-mz.D.64|00:00:57|
27987922.21|05:25:31|384|384|139.81K|1002883K|bt-mz.D.96|00:00:52|
27987922.22|05:30:09|384|384|146.07K|3770729K|bt-mz.D.192|00:00:52|
27987922.23|07:27:57|384|384|188.24K|5376622K|bt-mz.D.384|00:01:12|
