Nodes,tasks-per-node,ntasks,threads-per-task,threads,time-ex1,time-ex2,time-ex3,calculated_speedup,avg-time,speedup,efficiency
1,48,8,1,8,1938.03,1927.43,1930.03,8,1931.83,1.0000,0.1250
4,2,8,24,192,409.76,410.07,409.58,192,409.80,4.7140,0.0246
4,3,12,16,192,2555.5,2596.55,2644.23,192,2598.76,0.7434,0.0039
4,4,16,12,192,217.97,218.03,217.91,192,217.97,8.8628,0.0462
6,2,12,24,288,3047.03,3036.52,3046.76,288,3043.44,0.6348,0.0022
8,2,16,24,384,207.28,205.69,205.64,384,206.20,9.3686,0.0244
