JobID|TotalCPU|AllocCPUS|ReqCPUS|ConsumedEnergy|AveCPUFreq|JobName|Elapsed|
27989141|3-17:00:30|384|16|4317.07K||lu-mz|00:50:20|
27989141.batch|00:00.339|48|48|817.71K|2100000K|batch|00:50:20|
27989141.extern|00:00.009|384|384|4317.07K|16800000K|extern|00:50:20|
27989141.0|08:07:26|192|192|238.20K|1015K|lu-mz.D.8|00:02:33|
27989141.1|1-06:26:59|192|192|1240.29K|536K|lu-mz.D.12|00:24:39|
27989141.2|08:23:37|192|192|254.14K|7136K|lu-mz.D.16|00:02:38|
27989141.3|1-09:39:25|288|288|1399.37K|310K|lu-mz.D.12|00:19:03|
27989141.4|08:23:00|384|384|246.41K|19482K|lu-mz.D.16|00:01:20|
