JobID|TotalCPU|AllocCPUS|ReqCPUS|ConsumedEnergy|AveCPUFreq|JobName|Elapsed|
27993270|3-15:20:34|384|16|4201.75K||lu-mz|00:48:43|
27993270.batch|00:00.335|48|48|794.98K|2100000K|batch|00:48:43|
27993270.extern|00:00.009|384|384|4201.75K|16800000K|extern|00:48:43|
27993270.0|08:11:08|192|192|241.54K|780K|lu-mz.D.8|00:02:34|
27993270.1|1-05:24:14|192|192|1191.08K|1706K|lu-mz.D.12|00:23:34|
27993270.2|08:22:19|192|192|253.23K|2411K|lu-mz.D.16|00:02:38|
27993270.3|1-09:08:58|288|288|1368.12K|93K|lu-mz.D.12|00:18:34|
27993270.4|08:13:53|384|384|243.17K|27341K|lu-mz.D.16|00:01:18|
