Nodes,tasks-per-node,ntasks,threads-per-task,threads,time-ex1,time-ex2,time-ex3,calculated_speedup,avg-time,speedup,efficiency
1,48,8,1,8,1928.46,1935.22,1932.07,8,1931.92,1.0000,0.1250
4,2,8,24,192,853.03,851,851.98,192,852.00,2.2675,0.0118
4,3,12,16,192,2794.35,2815.89,2798.25,192,2802.83,0.6893,0.0036
4,4,16,12,192,491.06,490.21,491.33,192,490.87,3.9357,0.0205
6,2,12,24,288,3369.53,3373.64,3364.25,288,3369.14,0.5734,0.0020
8,2,16,24,384,428.19,426.59,427.1,384,427.29,4.5213,0.0118
