Nodes,tasks-per-node,ntasks,threads-per-task,threads,time-ex1,time-ex2,time-ex3,calculated_speedup,avg-time,speedup,efficiency
1,48,8,1,8,1953.32,2222.46,2540.7,8,2238.83,1.0000,0.1250
4,2,8,24,192,153.85,151.27,152.42,192,152.51,14.6795,0.0765
4,3,12,16,192,1416.22,1472.28,1407.34,192,1431.95,1.5635,0.0081
4,4,16,12,192,155.89,156.43,156.01,192,156.11,14.3413,0.0747
6,2,12,24,288,1117.61,1138.46,1107.92,288,1121.33,1.9966,0.0069
8,2,16,24,384,77.31,78.03,76.62,384,77.32,28.9553,0.0754
